ID,Attraction,Location,City,Best time to visit,Type,Description,Rating,image_urls,Best hour to visit,Entry fee,Distance from Cairo (km)
196,Wadi Ghazala,"https://www.google.com/maps/search/?api=1&query=Wadi+Ghabba+Hidden+Trail,+Dahab",Dahab,March to May & September to November,Natural,A remote desert trail leading to stunning rock formations and hidden caves.,4.9,https://drive.google.com/uc?export=download&id=1I2IHV13R5pkmlR9wdfOqfFgFiOlkokOt;https://drive.google.com/uc?export=download&id=1Weexbj9IWaxNaDIZOqbRSKCLMWVZEVIg;https://drive.google.com/uc?export=download&id=1vF8fZMQTHFqrJyWxrOtOKO4xweybqwOC;https://drive.google.com/uc?export=download&id=1OnDtRohGKg4SPEXYnsCc4YNFh6Z8kRUv;https://drive.google.com/uc?export=download&id=1P2YkTZbRA2a8gSNo7dLSwo90Qnzo25P8;https://drive.google.com/uc?export=download&id=1ZpZ1ZNKijLLlejW5xtHhuZUP8VYfez62;https://drive.google.com/uc?export=download&id=1I9TL_AvO5xUWQ7C8tclnTFtZOMYiR1ZF;https://drive.google.com/uc?export=download&id=1rTSAXxOil5wgxksuUO6Y-GMOryQqsU3Q;https://drive.google.com/uc?export=download&id=1gTF7WIpN3AWa_yxAmXQtMSi0swItdPkB;https://drive.google.com/uc?export=download&id=1vegqhE3qqEidl6UQz-YnxCB3DXY1wq28,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),EGP 300 - 700,580
197,Wadi Gnai,"https://www.google.com/maps/search/?api=1&query=Wadi+Gnai,+Dahab",Dahab,March to May & September to November,Natural,"A beautiful desert valley with palm groves and rock pools, perfect for hiking and camping.",4.7,https://drive.google.com/uc?export=download&id=1vGmLLWx41nM4V22rMsgASfQWLDkVOD2P;https://drive.google.com/uc?export=download&id=1FawE76QW0XLWgEZmUqVZZ3FoPN_fhxi5;https://drive.google.com/uc?export=download&id=1vP9uPwilXjMn-U_Nt7vNwAUGcTmoLlO_;https://drive.google.com/uc?export=download&id=1KImQbtmRKY56K5iDmRfuhahF-IaadCrD;https://drive.google.com/uc?export=download&id=1Bt4VcPrmv4gT9g_MKKiWihgkKSpourAP;https://drive.google.com/uc?export=download&id=1SJ9Q5l4HP0oX7rw2-KjGABymuZE_Tf3k;https://drive.google.com/uc?export=download&id=10QSCynMdGnh45o5iIQUPSMT2SSghCuH2;https://drive.google.com/uc?export=download&id=1gLfoCgj12942MRMuOcyIUSQP5nAf64D9;https://drive.google.com/uc?export=download&id=1K0slwAt_twF7Q6tC-RMKo0uPz6VgMHlM;https://drive.google.com/uc?export=download&id=1W5FwnBYNGfjCbu1RYemgf0hmli_-E8uz;https://drive.google.com/uc?export=download&id=1p-ieUHbd5CMMJpif-zI-x8QUBxfSVL7W;https://drive.google.com/uc?export=download&id=1A9XRwH6NHJebzUHIjH_ITSYm9a45t0Nw,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),EGP 300 - 700 ,580
198,Wadi stars ,"https://www.google.com/maps/search/?api=1&query=Wadi+Rasasa,+Dahab",Dahab,March to May & September to November,Cultural,"Wadi Stars (also known as *Wadi Al-Nujoom*) is a popular outdoor spot in Dahab, South Sinai, Egypt. It's known for its Bedouin-style night gatherings with live music, traditional food, and a peaceful desert atmosphere. Visitors can relax under the stars, enjoy local culture, and experience the beauty of the Sinai desert.",4.9,https://drive.google.com/uc?export=download&id=1XPGMC5dQLPUGshadeeayDWW7Xu0v6i5V;https://drive.google.com/uc?export=download&id=1OzZa0GK0lLTBn5TDSO5iPCJ5NhpOtIp9;https://drive.google.com/uc?export=download&id=1RxByXA_p6xOWajiGrlWptaP9BeKSgalk;https://drive.google.com/uc?export=download&id=1PPuc-SZgcMyiyY04FP-WM-M0Bch1IAXh;https://drive.google.com/uc?export=download&id=1xKgdz2WMniXAE08eC3pVa3caw1ztb_cZ;https://drive.google.com/uc?export=download&id=1lnYAyOXKWpUcz3cdSYs0fQeKJrjRmLec;https://drive.google.com/uc?export=download&id=14qemNt930nu1eTO48FGEvKvc3t0u0uWR;https://drive.google.com/uc?export=download&id=1mXImMXPUt3VqEhFp0NrcaG6Ik4vGNIKA;https://drive.google.com/uc?export=download&id=1ZDwwwlpJ2duHZRDzlTbxcgFQDC18Flw2, Evening," EGP 500 - 1,200",580
199,Wadi george Dahab,"https://www.google.com/maps/search/?api=1&query=Wadi+Umm+Sid+Trail,+Dahab",Dahab,March to May & September to November,Natural,A scenic desert trail leading to dramatic cliffs and panoramic views.,4.4,https://drive.google.com/uc?export=download&id=1ntTCXGyBTAN5uud5psEjFDUOMt2jzLje;https://drive.google.com/uc?export=download&id=1GbG8CCnzjgb6wDJ7J1sl7h2u6BoLP6RY;https://drive.google.com/uc?export=download&id=1BDzJGSixW5bKwS4mxTuNsUzs3EGlh39d;https://drive.google.com/uc?export=download&id=1RGT_-JwUDf9ChKoDh9mjNP7NsFFer4iH;https://drive.google.com/uc?export=download&id=1tOQ88YObCS1ECr2wm3KFCqJAJjZ7JfHR;https://drive.google.com/uc?export=download&id=1hZSD3bwKVpNF4co1Tk84XI-tp6XH4BWa,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),EGP 300 - 700 ,580
200,Wild Dolphin Spotting,https://maps.app.goo.gl/VWNi13on6KtEJKLC6,Dahab,March to May & September to November,Natural,A prime location for seeing wild dolphins in their natural habitat.,4.1,https://drive.google.com/uc?export=download&id=1DfJoCppfjsgwGB2pQFzyHx8x6WuALOqw;https://drive.google.com/uc?export=download&id=12GmjrWVU83T6w-_XrXAzhedmlBtUF5qe;https://drive.google.com/uc?export=download&id=1Aug8Il8tp61eThAo0-Mg_e90yRIoluRe;https://drive.google.com/uc?export=download&id=1lMXD26SXRaXlwklZ4CZ7XqdMqsxRM18H,Morning (6AM - 12 PM),"EGP 500 - 1,500 ",580
201,Ain El Selein,"https://www.google.com/maps/search/?api=1&query=Ain+El+Selein,+Fayoum",Fayoum,Late October to Early April,Natural,"Ain El Selein in Fayoum is a must-visit destination, offering visitors  natural beauty.",4.8,https://drive.google.com/uc?export=download&id=1B_N5oiTInnUlUDReqyZxDUeTeKDlucN3;https://drive.google.com/uc?export=download&id=1RIJIBst-YozW8H6LDfwwbdXXwETbbsxb;https://drive.google.com/uc?export=download&id=1PJCXjB0AwIq8SbXpTh9cxn4fUONj4LBn;https://drive.google.com/uc?export=download&id=1XbsENC8sYyoYvHwtRGvg3_OGrl2zZzyg;https://drive.google.com/uc?export=download&id=17Wrd2CAw7yD8mmhWZt_T2aQ_m5AMfEME,Morning (Sunrise to 9 AM) or Evening (4 PM to Sunset),0 EGP,100
202,Ain El Shakhloba,"https://www.google.com/maps/search/?api=1&query=Ain+El+Shakhloba,+Fayoum",Fayoum,Late October to Early April,Natural,"A natural freshwater spring in Fayoum, surrounded by lush greenery and offering a serene escape.",3.6,https://drive.google.com/uc?export=download&id=1hb_1s3SDLpZ2qDzybvasPR2gIsQv2nP1;https://drive.google.com/uc?export=download&id=1_2T3TWO0G6J-vU1rNiIednNDv0uafTz-;https://drive.google.com/uc?export=download&id=10daB-vZs7Du_MFtL88RxP4i8fHl0PqHP;https://drive.google.com/uc?export=download&id=1zd8NHzxO2osqgFjnKnF9nZ6Y2Bkh-1pf,Morning (Sunrise to 9 AM) or Evening (4 PM to Sunset),"EGP 500 - 1,200",100
203,Al Fayoum Souq,"https://www.google.com/maps/search/?api=1&query=Al+Fayoum+Souq,+Fayoum",Fayoum,Late October to Early April,Cultural,"A bustling traditional market where visitors can explore local crafts, fresh produce, and spices.",4.1,https://drive.google.com/uc?export=download&id=1OsNcbYxo25qVLepF7HIF-B3MbpnBfs1J;https://drive.google.com/uc?export=download&id=1vLcnNkbLOX-C4-gB5YeHy7a7JEKcaiaE,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,100
204,Al Nazla Pottery Village,"https://www.google.com/maps/search/?api=1&query=Al+Nazla+Pottery+Village,+Fayoum",Fayoum,Late October to Early April,Cultural,A historic village famous for its traditional pottery-making techniques passed down for generations.,4.7,https://drive.google.com/uc?export=download&id=1NJa3s8iZ8WT-Ze1RE1zqNOC9tFcXm7G0;https://drive.google.com/uc?export=download&id=15qhMDA1iixQxsHxriC9EuEYe5luMZBfK;https://drive.google.com/uc?export=download&id=15CFESqx3YB9hvzmEIh0P7GOnMWILsxii;https://drive.google.com/uc?export=download&id=1CM3iAEpMhk5lpwQYXCfbga0_ML4LENLI,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),0 EGP,100
205,Fayoum Art center,"https://www.google.com/maps/search/?api=1&query=Desert+Art+Gallery,+Fayoum",Fayoum,Late October to Early April,Cultural,An open-air exhibition showcasing artwork inspired by the surrounding desert landscapes.,4.8,https://drive.google.com/uc?export=download&id=16JnoY_ExRnV9srtkIMhrSWVmMUF8MS9d;https://drive.google.com/uc?export=download&id=15mIaR2FSNXal3SZWY9ncGZyiE7JQE7Ry;https://drive.google.com/uc?export=download&id=1Tb_RkA2YgYoMJnABaZzpla2zy4Ej237u;https://drive.google.com/uc?export=download&id=1PWKOetNpq-zmQ73LEvIuzMUD3psq0508,1:00 AM to 8:00 PM,50 - 100 EGP,100
206,Desert Glass Fields,"https://www.google.com/maps/search/?api=1&query=Desert+Glass+Fields,+Fayoum",Fayoum,Late October to Early April,Natural,"An area filled with natural desert glass, believed to have been formed by ancient meteorite impacts.",4.1,https://drive.google.com/uc?export=download&id=1knnuN7ObuGBjKnPEjia8ZJHLvBrof9xf;https://drive.google.com/uc?export=download&id=1rk4_LvT1yGC_UJHQDHv2-elH7qM6UKmg;https://drive.google.com/uc?export=download&id=19aUKcZW61rhxQ111SIRzpCTpgkh3Bqor;https://drive.google.com/uc?export=download&id=1jaixu5XV0kiv3TQvneliXQiGK4Rz3xjy,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"1,500 - 4,000 EGP",100
207,Desert Nomad Camp,"https://www.google.com/maps/search/?api=1&query=Desert+Nomad+Camp,+Fayoum",Fayoum,Late October to Early April,desert adventure camp,An authentic desert camp offering a glimpse into the traditional lifestyle of Bedouin nomads.,4.8,https://drive.google.com/uc?export=download&id=1fsLAL-4uWs6Xe-JZ1mo1AlaWKp5j7D22;https://drive.google.com/uc?export=download&id=1Uolxi1RvWKPHlssjc-F5EPesrczQECqg;https://drive.google.com/uc?export=download&id=1Uyd4KBw7uQI4FIt2K-PzNLBrQPlBxMJg;https://drive.google.com/uc?export=download&id=1SpiWSnVMhB6Vmo6fdaxTY_hT3uFEbyav;https://drive.google.com/uc?export=download&id=1ajuLlyZouxf8tqOSDRGIv0ZVWJlVd0uZ;https://drive.google.com/uc?export=download&id=1pPf6o4_0B-oGPQ2jC2do4sFxxHBzMbZZ;https://drive.google.com/uc?export=download&id=1LJqznaXofFrKZDy9IsFPCJaIVXFn1ZLJ,Early Morning (6 AM to 9 AM) orLate Afternoon (4 PM to Sunset),"3,000 - 9,000 EGP",100
208,Desert Nomad Village,"https://www.google.com/maps/search/?api=1&query=Desert+Nomad+Village,+Fayoum",Fayoum,Late October to Early April,desert adventure camp,A preserved village where visitors can experience the customs and daily life of desert dwellers.,4.7,https://drive.google.com/uc?export=download&id=1fsLAL-4uWs6Xe-JZ1mo1AlaWKp5j7D22;https://drive.google.com/uc?export=download&id=1ajuLlyZouxf8tqOSDRGIv0ZVWJlVd0uZ;https://drive.google.com/uc?export=download&id=1pPf6o4_0B-oGPQ2jC2do4sFxxHBzMbZZ;https://drive.google.com/uc?export=download&id=1LJqznaXofFrKZDy9IsFPCJaIVXFn1ZLJ,Early Morning (6 AM to 9 AM) orLate Afternoon (4 PM to Sunset),"1,500 - 4,500 EGP",100
209,Desert Rock Formations,"https://www.google.com/maps/search/?api=1&query=Desert+Rock+Formations,+Fayoum",Fayoum,Late October to Early April,Natural,"Unique geological structures shaped by wind and time, creating stunning natural sculptures.",5,https://drive.google.com/uc?export=download&id=1DCErje03LWyP8ri38nLgEX6DeTiogoiJ;https://drive.google.com/uc?export=download&id=1NKbqDz5eUPOFv1VeVfvzaFZgQCw7paNF;https://drive.google.com/uc?export=download&id=1TYIqCpNGBzOkGS0pJzM3s9c3070Xm0lb;https://drive.google.com/uc?export=download&id=1QoDxT5r_Uja3sJm-_YbUyznWH4aCg3yJ,Early Morning (6 AM to 9 AM) orLate Afternoon (4 PM to Sunset),"Guided Tour (Full-Day with Safari & Meals):2,500 - 6,000 EGP",100
210,Dima Al Sebaa,"https://www.google.com/maps/search/?api=1&query=Dima+Al+Sebaa,+Fayoum",Fayoum,Late October to Early April,Historical,"An ancient ruin site with historical significance, offering insights into early desert civilizations.",5,https://drive.google.com/uc?export=download&id=1Bx7_i-FTaCZbIOEusHGgOw65ztZ6VB2P;https://drive.google.com/uc?export=download&id=11tFM-olOWUKSFJ20M0zG8E25SepLZ4jA;https://drive.google.com/uc?export=download&id=1I5no7D6vC_buiQlZC9cx59FNqbgoHBuT,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"1,200 - 3,500 EGP",100
211,Fayoum Astronomy Camp,"https://www.google.com/maps/search/?api=1&query=Fayoum+Astronomy+Camp,+Fayoum",Fayoum,Late October to Early April,Iconic Destination,"A desert campsite ideal for stargazing, offering a clear view of the night sky.",4.9,https://drive.google.com/uc?export=download&id=1zsMmLacJaK8qmhPWCwzFKAEDV8oAx6Ok;https://drive.google.com/uc?export=download&id=1osgVftyWRmn8dz2wPw_pzcwbIKOYDPyz;https://drive.google.com/uc?export=download&id=1BYzO48QwYnwvRkkciuMrLLVKrj6AsIq0;https://drive.google.com/uc?export=download&id=1lHeJASrp46M-ceorKKJJa2HqpgDB--vl,After Sunset ,"Overnight Camping: ~800 - 2,500 EGP",100
212,Fayoum Bird Watching,"https://www.google.com/maps/search/?api=1&query=Fayoum+Bird+Watching,+Fayoum",Fayoum,Late October to Early April,Natural,A prime location for spotting migratory and native birds in the lush wetlands of Fayoum.,4.4,https://drive.google.com/uc?export=download&id=1zduCz6inDFdNfEd_Ns5T9so619KpGd9Y;https://drive.google.com/uc?export=download&id=16PJ3tQPmvmfpOdZt-irQTgQRw11WbT6L;https://drive.google.com/uc?export=download&id=1DTakeAX-vV8Zb5Qyt3ra4wrHJsQNIO8K;https://drive.google.com/uc?export=download&id=1uzTAcfbBk2N6peOZx409N5FeepoulLc6,early morning (around sunrise) or late afternoon (before sunset),0 EGP,100
213,Fayoum Boat Tour,"https://www.google.com/maps/search/?api=1&query=Fayoum+Boat+Tour,+Fayoum",Fayoum,Late October to Early April,Nature Experience,"A scenic boat trip along the tranquil waters of Lake Qarun, providing stunning views and birdlife sightings.",3.8,https://drive.google.com/uc?export=download&id=1FXrAqePDFLsqI2BhZIv3T9UnbEHE6o7U;https://drive.google.com/uc?export=download&id=16zXsW4kQKisBX5zmy72yTnEeDAHbhRk2;https://drive.google.com/uc?export=download&id=1cMnNVRIaJwlfQmicfh5XQJYsy5LNu2p5;https://drive.google.com/uc?export=download&id=1AGTy6QIuJUlzto0jkuya2ygl6LfBvLWk,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"Private Guided Tour:800 to 2,000 EGP",100
214,Fayoum Desert Safari,"https://www.google.com/maps/search/?api=1&query=Fayoum+Desert+Safari,+Fayoum",Fayoum,Late October to Early April,Desert adventure,"An exciting off-road adventure exploring Fayoum  vast desert, dunes, and rock formations.",3.7,https://drive.google.com/uc?export=download&id=1-LU_3Q1FvcPTp_PH3c2zGPFFHOySYYNf;https://drive.google.com/uc?export=download&id=18Frd2HtUtUfgxL_zVvaDltafzw1LG94z;https://drive.google.com/uc?export=download&id=1pA2wULr086e6RHwop5Gzt50--BJAUr3o;https://drive.google.com/uc?export=download&id=15jSG3dV1Bk9Plr1YRP2wr8qwrlbAJb6w;https://drive.google.com/uc?export=download&id=108XoVFSA4_7n-homTAPvQwioGwiMNcOB;https://drive.google.com/uc?export=download&id=1_iL7jvmmz3nlibAmwbTxCsHPC7KGTLCC;https://drive.google.com/uc?export=download&id=10_kLIXtpuqojavdJVcWVXyqpkZB1btHR,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"1,500 - 4,000 EGP",100
215,Fayoum Glass Workshop,"https://www.google.com/maps/search/?api=1&query=Fayoum+Glass+Workshop,+Fayoum",Fayoum,Late October to Early April,Culture,A workshop where artisans craft intricate glassware using traditional techniques.,4.3,https://drive.google.com/uc?export=download&id=129T4SeaSzkrdjImqnU8v8GYrAd6JxyZW;https://drive.google.com/uc?export=download&id=10YAYV283B5e8CsBXvNYJVGE52dmzsYxn;https://drive.google.com/uc?export=download&id=1ZbNF7_tvGIxCS0YxRs_PD6gOlqqL5kfG;https://drive.google.com/uc?export=download&id=1lyenSN3hFaFXjk2Av1C2E0Xu3AeqSTEA;https://drive.google.com/uc?export=download&id=142sXIUu9Rq3L4fy2MnVemCgT4u7iL2N_,Morning to Early Afternoon (10:00 AM – 2:00 PM),50 - 150 EGP,100
216,Fayoum Heritage House,"https://www.google.com/maps/search/?api=1&query=Fayoum+Heritage+House,+Fayoum",Fayoum,Late October to Early April,culture,"A cultural center preserving the history, architecture, and traditions of the Fayoum region.",4.7,https://drive.google.com/uc?export=download&id=1ywI3okV-eUHq3ADA5b0h2P4gajcj4grV;https://drive.google.com/uc?export=download&id=1nB2fEgfOh9vJoQgHZTly9BqNtjGXjer5;https://drive.google.com/uc?export=download&id=1C_WUg4-rC3SWHVXcHStFjzwKEgMGGLIm,morning or early afternoon between (10:00 AM and 2:00 PM),50 - 100 EGP,100
217,Fayoum Horseback Riding,"https://www.google.com/maps/search/?api=1&query=Fayoum+Horseback+Riding,+Fayoum",Fayoum,Late October to Early April,Nature & Adventure,A thrilling experience riding horses through the picturesque landscapes of Fayoum.,4.3,https://drive.google.com/uc?export=download&id=1HN5y6EYaGGoTlonNMs6FcetD8loFJU2U;https://drive.google.com/uc?export=download&id=1svswdT9ujTAMyG3PIrGiSoU_HzlJniCO;https://drive.google.com/uc?export=download&id=1xO-BAicWGp81LajXVcbUuoOZewiqgmn8;https://drive.google.com/uc?export=download&id=1wD-xPryyDiFKkW57PudWWLWuVB8hYQIc;https://drive.google.com/uc?export=download&id=1I4C9W4Cl6_DQ1nNm8s2csso757fe3ehc;https://drive.google.com/uc?export=download&id=1-Xm5xXMeNV841lvZl7_oIwFro9eHuJ8f,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),200 - 500 EGP,100
218,Fayoum Olive Tree Lodge,https://maps.app.goo.gl/FYtRQbmTzBdSXARc7,Fayoum,Late October to Early April,Cultural Retreat,"The lodge is situated in a scenic setting, surrounded by lush olive trees and offering stunning views of Lake Qarun.",4.8,https://drive.google.com/uc?export=download&id=1srnet1bpwAZZqr0NWRPGUjmOM1AFgUgs,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),4000EGP,100
219,Fayoum Palm Grove,"https://www.google.com/maps/search/?api=1&query=Fayoum+Palm+Grove,+Fayoum",Fayoum,Late October to Early April,Natural,A beautiful palm tree plantation providing shade and fresh dates to visitors.,4.3,https://drive.google.com/uc?export=download&id=1IJntGtSw7eeql5Yj3w57KIybu8_t21HA;https://drive.google.com/uc?export=download&id=1sqK9WFV9AyUqorGMUEMXERiPLn-N6VlH,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),200 - 600 EGP,100
220,Fayoum Pottery School,"https://www.google.com/maps/search/?api=1&query=Fayoum+Pottery+School,+Fayoum",Fayoum,Late October to Early April,Cultural,A learning center where visitors can try their hand at making traditional Fayoumi pottery.,4.3,https://drive.google.com/uc?export=download&id=1PtZDob0wU7FmdTxCFPvWR0F8IFi3Ukg2;https://drive.google.com/uc?export=download&id=16wNARApqvg4xtYyJ7zi2dSXSIzgLjgE8;https://drive.google.com/uc?export=download&id=1Lnmi3mmJVGYe_qWzx_hdyTJsPmSsvgLd;https://drive.google.com/uc?export=download&id=1CLLbgC-nLREUc3OFDOdWS33oMEhSId11;https://drive.google.com/uc?export=download&id=1uSNxVTVjZMsl_xwd-dD_TY297eVSg-HK,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),50 - 200 EGP,100
221,Fayoum Sandboarding Dunes,"https://www.google.com/maps/search/?api=1&query=Fayoum+Sandboarding+Dunes,+Fayoum",Fayoum,Late October to Early April,adventure,A hotspot for sandboarding enthusiasts looking to glide down Fayoum rolling dunes.,3.7,https://drive.google.com/uc?export=download&id=1X5Qp3YJMG39O-i4Wf97hoBGIcSMxCppH;https://drive.google.com/uc?export=download&id=15UaeAXf6syA-Rx-2Pij3gFS0AAPqdvCM;https://drive.google.com/uc?export=download&id=1YIn3CBmz79HqmYK_jNkhBareWvHBU9e4;https://drive.google.com/uc?export=download&id=1zqLK92GTk1vHwNXDZxDfXZGAn5i3jv9k,late afternoon (4:00 PM – 6:00 PM),"400 - 1,000 EGP",100
222,Fayoum Underground Caves,"https://www.google.com/maps/search/?api=1&query=Fayoum+Underground+Caves,+Fayoum",Fayoum,Late October to Early April,Natural Wonder,"Hidden caves beneath the desert, some containing ancient rock carvings and relics.",4.4,https://drive.google.com/uc?export=download&id=1NgDzIIk_vqmL0jwXYgQjnGvGyL0esBRF;https://drive.google.com/uc?export=download&id=12wf9SLh6kIyqXp2AKl-z52Q-UapMFtQ-;https://drive.google.com/uc?export=download&id=1kEvaFWm_jyLolpa9Z7Og5pmFHb-y4RxA;https://drive.google.com/uc?export=download&id=1s1OXYgd4AI-82HqEtmo8InjJmXMymQN6;https://drive.google.com/uc?export=download&id=1pCrbI6ahYjQuzlQZ4Bi1-gIkCdZhdmh_,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"Cave Exploration Tour: ~600 - 2,000",100
223,Fayoum Wildlife Sanctuary,"https://www.google.com/maps/search/?api=1&query=Fayoum+Wildlife+Sanctuary,+Fayoum",Fayoum,Late October to Early April,Wildlife Habitat,"A protected area home to rare animal species, including foxes, gazelles, and migratory birds.",3.8,https://drive.google.com/uc?export=download&id=1PFIpQH7iXaurns3AEH3p_Q200GxE1TEx;https://drive.google.com/uc?export=download&id=1LewX8pH8-3Za_onTrVO6-zyKVFKF43Vv;https://drive.google.com/uc?export=download&id=142JthHYwZNxq2bJutgPpS1dzKk9nCWAJ;https://drive.google.com/uc?export=download&id=1am5hgbiEjYBRLL4lJsos1txAyx7cPICT,Morning (8 AM - 12 PM) orLate Afternoon (3:00 PM – 5:00 PM),50 - 200 EGP,100
224,Gabal El Medawara,"https://www.google.com/maps/search/?api=1&query=Gabal+El+Medawara,+Fayoum",Fayoum,Late October to Early April,Natural,"A striking rock mountain near Magic Lake, offering excellent hiking and photography opportunities.",4,https://drive.google.com/uc?export=download&id=1Il01bPiwhF1ZI7YH7QVXpX102wMcwWIM;https://drive.google.com/uc?export=download&id=1fgws74U3VGE9_49aaGYbw89W0XIGZzpr;https://drive.google.com/uc?export=download&id=1L9W05m8gxch9dz4QcTeXWRa_kEOhflzn;https://drive.google.com/uc?export=download&id=1xiZ47CFT1F16bpYBJONqvFItwuv8T6Y0,Early Morning (7:00 AM – 10:00 AM) or Late Afternoon (3:00 PM – Sunset), 200 EGP,100
225,Jebel Qatrani,"https://www.google.com/maps/search/?api=1&query=Jebel+Qatrani,+Fayoum",Fayoum,Late October to Early April,natural heritage,A UNESCO-listed site known for its ancient fossil deposits and impressive rock formations.,4.9,https://drive.google.com/uc?export=download&id=19SK9iUmmMvrbf2vqqpk6-YLSWY6urNYq;https://drive.google.com/uc?export=download&id=1HwzCJ6PLLIQvMm1chfC0PPevRz7_TNZb;https://drive.google.com/uc?export=download&id=1i_VjH696klt6a2SW-qkmexsTIDsM4S5k;https://drive.google.com/uc?export=download&id=1xuVOP6uJdRkA3fFKLWAqDnoOHL8quPpr,Early Morning (7:00 AM – 10:00 AM) or Late Afternoon (3:00 PM – Sunset),50 - 200 EGP,100
226,Karanis Archaeological Site,"https://www.google.com/maps/search/?api=1&query=Karanis+Archaeological+Site,+Fayoum",Fayoum,Late October to Early April,Historical,"The ruins of an ancient Greco-Roman city in Fayoum, featuring temples, houses, and artifacts.",4,https://drive.google.com/uc?export=download&id=1VqESUrJgm_Bbwdi8P_qMkusUYmhlgyO-;https://drive.google.com/uc?export=download&id=1a3YUW32zEZfuoj_4zhXNLqQjox3wlfF7;https://drive.google.com/uc?export=download&id=1WwO0tGTtJ4qlCoXLWiVjWjtzUTGdSqhE;https://drive.google.com/uc?export=download&id=1GsMv53rUQ_psCehipGmPzAU6X1WBjkyK,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),50 - 200 EGP,100
227,Kom Oshim,"https://www.google.com/maps/search/?api=1&query=Kom+Oshim,+Fayoum",Fayoum,Late October to Early April,Museum,An archaeological site featuring the ruins of an ancient Roman military camp and settlement.,4.7,https://drive.google.com/uc?export=download&id=1BCth3Mq_97KuqY5SP_qzcVM2jM0x87on;https://drive.google.com/uc?export=download&id=1Mj-CDuA15pdfNvC044J-8obqxrH5P2NW;https://drive.google.com/uc?export=download&id=1-KP1vuEMC3LHEGGGspt8GsgR64cft8CZ;https://drive.google.com/uc?export=download&id=1QurGNZbcucr--DueK-7IeNh9PAUoR4gF;https://drive.google.com/uc?export=download&id=1v5PdTiuR3xXU_vtwX8DunK6i_SB2SJm2;https://drive.google.com/uc?export=download&id=1fVIkw6pS9A_T0ugBeoabLIBK5AQqyQ4F;https://drive.google.com/uc?export=download&id=1Ensy96SZ9PfdSCOyzEzkGltvtTxeu5oC,Morning (8 AM - 12 PM) orLate afternoon (3PM - 5 PM),50 - 150 EGP,100
228,Kom Oshim Museum,"https://www.google.com/maps/search/?api=1&query=Kom+Oshim+Museum,+Fayoum",Fayoum,Late October to Early April,Cultural,"A small museum displaying artifacts from Fayoum ancient past, including Roman and Pharaonic relics.",4.1,https://drive.google.com/uc?export=download&id=1BCth3Mq_97KuqY5SP_qzcVM2jM0x87on;https://drive.google.com/uc?export=download&id=1v5PdTiuR3xXU_vtwX8DunK6i_SB2SJm2;https://drive.google.com/uc?export=download&id=1fVIkw6pS9A_T0ugBeoabLIBK5AQqyQ4F;https://drive.google.com/uc?export=download&id=1Ensy96SZ9PfdSCOyzEzkGltvtTxeu5oC,Morning (9 AM - 12 PM) or Late Afternoon (4 PM - 7 PM),50 - 150 EGP,100
229,Lake Moeris,"https://www.google.com/maps/search/?api=1&query=Lake+Moeris,+Fayoum",Fayoum,Late October to Early April,Natural,"An ancient lake that once covered a significant part of Fayoum, now a remnant of its past grandeur.",4.4,https://drive.google.com/uc?export=download&id=16evFN0hGLw_XUjhzoL1o8brg16b-Tw6g;https://drive.google.com/uc?export=download&id=12BWMDyKSH2KCcYlJVx8OVqR1XoLDcAmG;https://drive.google.com/uc?export=download&id=10BZwoeJAXjXreS_R1BC_3qgPQ94fCSIk;https://drive.google.com/uc?export=download&id=1MHTSfY2RJWeFuVxOhwMFeqoezUKZJDrD;https://drive.google.com/uc?export=download&id=1mQK8di3DKelWNkASPH6ouLaJ4FaQ8_yH,Morning (8 AM - 12 PM) or Evening (5 PM - 8 PM),"500 - 1,500 EGP",100
